size,condition,language,compliance_rate,n
31b,abliterated,ar,0.61,100
31b,abliterated,de,0.71,100
31b,abliterated,en,0.67,100
31b,abliterated,es,0.64,100
31b,abliterated,hi,0.6,100
31b,abliterated,pt,0.63,100
31b,abliterated,zh,0.65,100
31b,base,ar,0.1,100
31b,base,de,0.12,100
31b,base,en,0.16,100
31b,base,es,0.12,100
31b,base,hi,0.13,100
31b,base,pt,0.16,100
31b,base,zh,0.13,100
e2b,abliterated,ar,0.43,100
e2b,abliterated,de,0.44,100
e2b,abliterated,en,0.42,100
e2b,abliterated,es,0.47,100
e2b,abliterated,hi,0.39,100
e2b,abliterated,pt,0.4,100
e2b,abliterated,zh,0.45,100
e2b,base,ar,0.02,100
e2b,base,de,0.04,100
e2b,base,en,0.04,100
e2b,base,es,0.07,100
e2b,base,hi,0.02,100
e2b,base,pt,0.06,100
e2b,base,zh,0.04,100
e4b,abliterated,ar,0.64,100
e4b,abliterated,de,0.74,100
e4b,abliterated,en,0.7,100
e4b,abliterated,es,0.66,100
e4b,abliterated,hi,0.65,100
e4b,abliterated,pt,0.74,100
e4b,abliterated,zh,0.64,100
e4b,base,ar,0.09,100
e4b,base,de,0.1,100
e4b,base,en,0.13,100
e4b,base,es,0.11,100
e4b,base,hi,0.09,100
e4b,base,pt,0.16,100
e4b,base,zh,0.07,100
